Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
24-02-22,28.95,28.95,27.55,27.55,27.56,80763,166,2225933,80763,100,1.4,-1.4
23-02-22,28.5,29.35,28,28.95,28.77,35577,150,1023654,35577,100,1.35,0.45
22-02-22,26.6,28.1,26.6,28,26.97,155593,246,4196093,155593,100,1.5,1.4
21-02-22,29.45,29.45,28,28,28.23,34667,168,978783,34667,100,1.45,-1.45
18-02-22,29.25,29.95,28,29.45,28.76,100976,177,2904005,100976,100,1.95,0.2
17-02-22,29.5,30,27.8,29.25,28.23,229280,293,6473314,229280,100,2.2,-0.25
16-02-22,28.5,29.25,27.85,29.25,28.82,68308,175,1968530,68308,100,1.4,0.75
15-02-22,28.5,28.95,27.35,27.9,27.7,151157,316,4186294,151157,100,1.6,-0.6
14-02-22,29.05,30,28.75,28.75,28.99,76700,250,2223305,76700,100,1.25,-0.3
11-02-22,30.15,31,29.8,30.25,30.14,74508,256,2245828,74508,100,1.2,0.1
10-02-22,31,31,30,30.95,30.75,54289,150,1669302,54289,100,1,-0.05
09-02-22,31,31.4,29.55,31.05,30.07,163658,361,4920976,163658,100,1.85,0.05
08-02-22,29.25,31.3,29.2,31.1,30.47,122469,259,3731656,122469,100,2.1,1.85
07-02-22,30.45,30.95,28.75,29.85,29.43,61283,233,1803516,61283,100,2.2,-0.6
04-02-22,30.25,31.5,29.55,30.1,30.4,39259,199,1193319,39259,100,1.95,-0.15
03-02-22,30.1,30.9,29.55,30.25,30.34,40014,175,1214206,40014,100,1.35,0.15
02-02-22,30,30.2,29.1,29.9,29.84,44925,193,1340381,44925,100,1.1,-0.1
01-02-22,31.35,31.35,29.3,30,30.03,106406,242,3194933,106406,100,2.05,-1.35
31-01-22,32.8,32.8,30.6,30.8,31.02,86068,265,2669563,86068,100,2.2,-2
28-01-22,32,32.7,31,32.2,32.08,65654,293,2106410,65654,100,1.7,0.2
27-01-22,32.45,32.45,30,32.05,31.54,122023,385,3848812,122023,100,2.45,-0.4
25-01-22,30.25,31.35,28.45,31.35,30.01,166917,407,5008684,166917,100,2.9,1.1
24-01-22,31.9,31.95,29.8,29.9,29.83,269916,307,8052200,269916,100,2.15,-2
21-01-22,33.25,33.25,31.3,31.35,31.59,141699,369,4475970,141699,100,1.95,-1.9
20-01-22,34.5,34.6,32.6,32.9,33.23,78907,313,2621763,78907,100,2,-1.6
19-01-22,33.75,34.7,32.5,34.25,33.36,150472,365,5020495,150472,100,2.2,0.5
18-01-22,35.35,35.35,32.1,33.75,33.65,316525,881,10651547,316525,100,3.25,-1.6
17-01-22,32.55,33.8,31.25,33.75,32.74,286121,812,9368117,286121,100,2.55,1.2
14-01-22,30.95,32.25,30,32.2,31.86,388734,675,12385003,388734,100,2.25,1.25
13-01-22,31,31.3,29.6,30.75,30.55,122140,430,3731325,122140,100,1.7,-0.25
12-01-22,30,31.25,29,31,30.07,477861,890,14369290,377556,79.01,2.25,1
11-01-22,32,32,29.6,30.5,30.06,495397,1002,14893354,338860,68.4,2.4,-1.5
10-01-22,31.75,32.2,29.6,31.15,30.67,404710,1003,12412920,295205,72.94,2.6,-0.6
07-01-22,31.85,31.85,28.85,31.15,30.53,910854,1796,27811512,654807,71.89,3,-0.7
06-01-22,30.35,30.35,27.55,30.35,29.64,1567420,2033,46460545,871756,55.62,2.8,0
05-01-22,28.95,28.95,28.95,28.95,28.95,68665,193,1987851,65918,96,0,0
04-01-22,27.6,27.6,27.6,27.6,27.6,81247,170,2242417,81247,100,0,0
03-01-22,26.3,26.3,26.3,26.3,26.3,64376,132,1693088,64376,100,0,0
31-12-21,25,25.05,24.85,25.05,25.02,124266,202,3109598,107264,86.32,0.2,0.05
30-12-21,23.45,23.9,23.05,23.9,23.81,171346,389,4079559,151919,88.66,0.85,0.45
29-12-21,22,22.8,22,22.8,22.62,218531,477,4944075,183937,84.17,0.8,0.8
28-12-21,20.9,21.75,20.5,21.75,21.35,138449,373,2955293,107553,77.68,1.25,0.85
27-12-21,21.55,21.7,20.65,20.75,20.99,110023,266,2309297,78560,71.4,1.05,-0.8
24-12-21,21.9,21.9,21.05,21.55,21.75,172105,390,3743763,137960,80.16,0.85,-0.35
23-12-21,20,20.9,20,20.9,20.74,128928,275,2673370,106012,82.23,0.9,0.9
22-12-21,19.9,20,19.65,19.95,19.84,68647,225,1362109,55222,80.44,0.35,0.05
21-12-21,20.45,20.5,19.3,19.5,19.68,154147,276,3033366,137942,89.49,1.2,-0.95
20-12-21,20.1,20.65,19.5,19.7,19.69,100620,366,1981588,77181,76.71,1.15,-0.4
17-12-21,21.7,21.7,20.45,20.5,20.57,106869,275,2198670,87638,82,1.25,-1.2
16-12-21,23,23,21.45,21.5,21.72,118989,371,2585001,91651,77.02,1.55,-1.5
15-12-21,22.6,22.9,21.85,22.55,22.49,80757,361,1816306,60585,75.02,1.05,-0.05
14-12-21,21,21.85,20.5,21.85,21.53,118125,338,2542883,94492,79.99,1.35,0.85
13-12-21,20.2,21.2,20.2,20.85,20.82,92024,297,1915967,75900,82.48,1,0.65
10-12-21,20.65,20.65,20,20.2,20.25,40867,238,827655,30498,74.63,0.65,-0.45
09-12-21,20.2,20.85,20.1,20.25,20.44,58635,224,1198688,44729,76.28,0.75,0.05
08-12-21,20.15,21.25,20.1,20.3,20.59,77098,215,1587535,62676,81.29,1.15,0.15
07-12-21,20.5,20.65,19.75,20.35,20.18,38199,176,770785,33334,87.26,0.9,-0.15
06-12-21,21.35,21.35,20.1,20.15,20.54,36479,184,749390,31602,86.63,1.25,-1.2
03-12-21,20.25,21.05,20.1,20.85,20.82,68384,289,1423673,49908,72.98,0.95,0.6
02-12-21,19.7,20.3,19.5,20.05,20.01,44533,200,891187,35142,78.91,0.8,0.35
01-12-21,20,20.25,19.4,19.8,19.78,59783,194,1182247,49155,82.22,0.85,-0.2
30-11-21,20,20.45,19.7,19.75,19.87,66769,181,1326848,55483,83.1,0.75,-0.25
29-11-21,20.1,20.4,19.35,20,19.86,47182,203,937129,35123,74.44,1.05,-0.1
26-11-21,20.5,20.75,19.8,19.95,20.13,126317,306,2542435,103129,81.64,0.95,-0.55
25-11-21,21.2,21.25,20.5,20.6,20.84,60842,150,1267970,57302,94.18,0.75,-0.6
24-11-21,20.85,21.85,20.85,21.05,21.31,57046,173,1215904,46142,80.89,1,0.2
23-11-21,20.5,21.2,20.05,20.95,20.7,67225,259,1391618,44772,66.6,1.15,0.45
22-11-21,21.95,21.95,20.5,20.85,20.92,97536,226,2040273,83170,85.27,1.45,-1.1
18-11-21,22.65,22.9,21.55,21.55,21.92,72184,229,1582144,58308,80.78,1.35,-1.1
